Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",0805,2,100nF,
"C2, C7",CP_EIA-6032-15_Kemet-U_HandSolder,2,220uF,
"C3, C9",0805,2,1nF,
C4,CP_Radial_D8.0mm_P3.50mm,1,470uF,
"C5, C6",CP_EIA-6032-15_Kemet-U_HandSolder,2,22uF,
D1,LED_D3.0mm,1,WiFi,
D2,LED_D3.0mm,1,Serial,
D3,LED_D3.0mm,1,NOW,
"J1, J4",PinHeader_1x04_P2.54mm_Vertical,2,UART,
J3,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C,
"JP1, JP5",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,Reset,
"JP2, JP3",PinHeader_1x02_P2.54mm_Vertical,2,Prog,
"R1, R12, R8",1206,3,330,
"R10, R11, R2, R4, R9",1206,5,10k,
"R19, R20",1206,2,5.1k,
SW1,SW_PUSH-12mm,1,main,
SW2,SW_PUSH_6mm,1,Aux,
U1,ESP32-WROOM-32,1,ESP32-TCP,
"U2, U3",SOT-223-3_TabPin2,2,AMS1117,
U4,ESP32-WROOM-32,1,ESP32-NOW,
