Designator,Mid X,Mid Y,Rotation,Layer
C1,124.46,-70.612,180.0,top
C2,124.968,-65.024,0.0,top
C3,131.318,-55.372,0.0,top
C4,177.194651,-76.962,180.0,top
C5,134.356,-70.358,0.0,top
C6,169.418,-93.472,180.0,top
C7,179.07,-98.298,180.0,top
C8,178.308,-92.71,0.0,top
C9,174.244,-107.442,0.0,top
D1,168.91,-75.184,180.0,top
D2,168.915,-81.28,180.0,top
D3,168.889,-87.122,180.0,top
J1,173.228,-61.224,0.0,top
J3,186.42,-80.71,90.0,top
J4,131.318,-99.324,0.0,top
JP2,174.757,-69.596,270.0,top
JP3,132.588,-90.17,90.0,top
R1,163.571,-75.438,0.0,top
R10,167.64,-107.696,0.0,top
R11,125.476,-90.424,0.0,top
R12,163.55,-87.376,0.0,top
R19,186.156,-73.406,180.0,top
R2,137.658,-55.372,0.0,top
R20,185.902,-88.392,180.0,top
R4,182.118,-69.596,0.0,top
R8,163.576,-81.28,0.0,top
R9,126.492,-74.93,180.0,top
SW1,152.664,-80.772,0.0,top
SW2,125.984,-80.772,0.0,bottom
U1,152.654,-61.13,0.0,top
U2,134.61,-62.992,270.0,top
U3,169.418,-101.092,90.0,top
U4,152.654,-100.584,180.0,top
