Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C2",0603,4,100nF,
C11,1206,1,4.7uFx25V,
C12,1206,1,22uFx10V,
J1,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,In 24V,
J2,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,1,lamps,
J3,PinHeader_1x04_P2.54mm_Vertical,1,UART,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Prog,
L1,WE-LQSH_4020,1,WE-LQSH_4020,
Q1,SOT95P280X125-3N,1,AO3400A,
"R1, R3, R4",1206,3,10K,
R14,1206,1,412k,
R15,1206,1,200k,
R2,1206,1,100,
"SW1, SW2",SMT_FS,2,PTS526 SM15 SMTR2 LFS,
U1,IC_TPS560430X3FDBVT,1,TPS560430X3FDBVT,
U2,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
