Designator,Mid X,Mid Y,Rotation,Layer
C1,190.14,-73.82,270.0,top
C10,216.69,-93.3,180.0,top
C11,226.04,-95.18,270.0,top
C12,217.57,-89.26,270.0,top
C13,223.72,-96.07,90.0,top
C2,193.08,-73.9,270.0,top
J1,232.66,-93.96,90.0,top
J2,187.89,-88.81,90.0,top
J3,221.45,-74.61,90.0,top
JP2,234.4575,-82.37,0.0,top
L1,221.68,-91.24,270.0,top
Q1,196.74,-96.715,90.0,top
R1,187.11,-74.72,90.0,top
R14,220.46,-99.13,180.0,top
R15,216.19,-96.84,90.0,top
R2,200.73,-96.37,270.0,top
R3,234.0,-75.64,180.0,top
R4,214.88,-86.79,270.0,top
SW1,234.0258,-69.98135,90.0,top
SW2,233.9858,-69.95865,270.0,bottom
U1,220.1,-96.03,0.0,top
U2,203.78,-81.09,0.0,top
