Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_BH123A,1,BH123A,
C1,0603,1,22uF,
C2,CAPC2012X145N,1,47uF,
C3,0805,1,68nF,
"C4, C6",0805,2,100nF,
C5,0603,1,100nF,
D3,1206,1,LED,
J1,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,JST_02,
J3,PinHeader_1x05_P2.54mm_Vertical,1,JST_05,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Prog,
L1,L_Murata_DFE201610P,1,L,
Q1,SOT-23,1,AO3407A,
R1,0805,1,200k,
"R10, R2, R4, R9",0805,4,10k,
"R12, R15, R16",0805,3,4.7k,
"R13, R8",0805,2,1M,
R14,0805,1,300k,
R3,0805,1,330,
R5,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,LDR07,
R6,0805,1,470k,
R7,0805,1,75k,
SW1,SW_SPST_REED_CT10-XXXX-G2,1,SW_Reed_Opener,
SW2,SMT_FS,1,PTS526 SM15 SMTR2 LFS,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32,
U2,IC_TPS63021DSJR,1,TPS63021DSJR,
