Designator,Mid X,Mid Y,Rotation,Layer
BT1,114.92375,-92.21125,90.0,bottom
C1,123.775,-80.125,270.0,top
C2,116.5,-79.15,270.0,top
C3,109.125,-52.375,90.0,top
C4,114.675,-73.9,180.0,top
C5,117.025,-75.775,180.0,top
C6,109.15,-60.35,270.0,top
D3,130.775,-52.6,270.0,bottom
J1,130.175,-80.72,0.0,top
J2,129.2,-105.8,90.0,top
J3,120.0,-117.1,90.0,top
JP2,129.975,-89.81,0.0,top
L1,120.025,-83.3,180.0,top
Q1,111.225,-110.15,90.0,top
R1,111.7,-76.725,0.0,top
R10,128.325,-112.2,90.0,top
R12,120.475,-113.05,90.0,top
R13,121.025,-73.0,270.0,top
R14,114.675,-71.925,0.0,top
R15,122.85,-113.025,90.0,top
R16,111.225,-107.225,180.0,top
R2,109.125,-56.225,270.0,top
R3,130.85,-56.95,90.0,bottom
R4,126.775,-91.075,270.0,top
R5,129.575,-97.825,270.0,bottom
R6,109.15,-64.25,270.0,top
R7,109.175,-68.1,270.0,top
R8,123.875,-75.625,270.0,top
R9,125.8,-52.45,270.0,bottom
SW1,110.3,-88.225,270.0,top
SW2,120.0,-53.3,180.0,bottom
U1,120.0,-59.305,0.0,top
U2,119.925,-79.3,0.0,top
