Designator,Footprint,Quantity,Value,LCSC Part #
A1,TO254P940H490-3,1,IRA-S410ST01,
"C1, C4, C6",0805,3,100nF,
C2,CP_EIA-6032-15_Kemet-U_HandSolder,1,220uF,
C3,0805,1,68nF,
C5,CP_EIA-6032-15_Kemet-U_HandSolder,1,22uF,
D1,APHBM2012ETSGTC,1,LED_Dual_AKKA,
D3,1206,1,LED,
J1,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J2,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Bat,
J3,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C,
"J4, J5",PinHeader_1x04_P2.54mm_Vertical,2,I2C,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Prog,
Q1,SOT-23,1,AO3407A,
"R1, R11",1206,2,5.1k,
R10,1206,1,3.9k,
"R12, R15, R16",1206,3,4.7k,
R13,1206,1,1M,
R14,1206,1,300k,
"R2, R4, R9",1206,3,10k,
"R3, R8",1206,2,330,
R5,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,LDR07,
R6,1206,1,470k,
R7,1206,1,75k,
SW2,SMT_FS,1,PTS526 SM15 SMTR2 LFS,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32,
U2,TSOT-23-6_HandSoldering,1,TP4057,
U4,SOT-23,1,MCP1700,
