Designator,Mid X,Mid Y,Rotation,Layer
A1,68.5,-88.5,0.0,top
C1,91.9255,-83.566,0.0,top
C2,91.948,-79.248,180.0,top
C3,64.516,-107.188,270.0,top
C4,62.996,-99.836,90.0,top
C5,91.948,-92.202,180.0,top
C6,60.76,-71.882,90.0,top
D1,68.5,-106.172,270.0,top
D3,68.48,-62.738,180.0,top
J1,42.98,-83.48,180.0,top
J3,83.566,-113.538,0.0,top
J4,51.87,-62.33,90.0,top
J5,68.5,-80.6,270.0,top
JP2,42.98,-74.082,0.0,top
Q1,58.85,-81.4,270.0,top
R1,86.31,-106.63,180.0,top
R10,91.948,-98.552,180.0,top
R11,80.28,-106.65,0.0,top
R12,53.5,-70.6,270.0,top
R13,65.886,-100.066,90.0,top
R14,64.516,-96.266,0.0,top
R15,50.1,-70.69,270.0,top
R16,59.0,-84.7,0.0,top
R2,61.976,-106.934,270.0,top
R3,68.58,-65.532,0.0,top
R4,46.8,-77.9,90.0,top
R5,68.5,-71.882,0.0,top
R6,63.1,-71.882,270.0,top
R7,58.42,-71.882,90.0,top
R8,74.168,-106.68,0.0,top
R9,91.9255,-74.57,0.0,top
SW2,87.884,-65.532,270.0,bottom
U1,50.446,-100.692,180.0,top
U2,80.01,-100.584,0.0,top
U4,91.9255,-87.884,90.0,top
