Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,100nF,
C2,CP_EIA-6032-15_Kemet-U_HandSolder,1,220uF,
C3,0805,1,1nF,
C5,CP_EIA-6032-15_Kemet-U_HandSolder,1,22uF,
"D1, D3, D4, D5",LED_D3.0mm,4,LED,
J1,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J2,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Bat,
J3,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Reset,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Prog,
LED1,LED_D5.0mm-4_RGB,1,Everlight_EASV3015RGBA0,
Q1,SOT-23,1,MMBT3904,
"R1, R10, R11, R12, R15",1206,5,330,
"R13, R14, R2, R4, R8, R9",1206,6,10k,
"R16, R17",1206,2,5.1k,
R3,1206,1,1k,
R5,1206,1,3.9k,
R6,1206,1,1M,
R7,1206,1,300k,
SW1,SW_PUSH-12mm,1,main,
SW2,SW_PUSH_6mm,1,Aux,
SW3,SW_PUSH-12mm,1,Side 1,
SW4,SW_PUSH-12mm,1,Side 2,
U1,ESP32-WROOM-32E,1,ESP32-WROOM-32,
U2,TSOT-23-6_HandSoldering,1,TP4057,
U4,SOT-23_MC_MCH,1,MCP1700,
