Designator,Mid X,Mid Y,Rotation,Layer
C1,140.03,-55.07,90.0,top
C2,131.96,-55.07,0.0,top
C3,119.99,-70.49,90.0,top
C4,139.67,-70.53,270.0,top
C5,131.96,-59.41,0.0,top
D1,123.444,-64.262,0.0,top
D3,181.935,-64.262,180.0,top
D4,181.935,-97.2,180.0,top
D5,123.444,-97.2,0.0,top
J1,173.08,-59.32,0.0,top
J2,175.32,-95.68,270.0,top
J3,186.5,-80.772,90.0,top
JP2,166.61,-67.845,0.0,top
LED1,131.345,-97.2,0.0,top
Q1,131.81,-64.75,180.0,top
R1,127.95,-64.55,90.0,top
R10,179.6,-60.15,0.0,top
R11,181.97,-93.04,180.0,top
R12,123.36,-93.08,180.0,top
R13,135.654,-89.71,0.0,top
R14,169.654,-89.71,0.0,top
R15,152.46,-115.07,0.0,top
R16,185.43,-73.52,0.0,top
R17,185.43,-87.96,0.0,top
R2,129.41,-70.39,90.0,top
R3,138.26,-64.0,180.0,top
R4,166.48,-59.17,270.0,top
R5,171.0,-106.31,90.0,top
R6,134.76,-70.53,90.0,top
R7,137.32,-70.53,90.0,top
R8,152.55,-89.54,0.0,top
R9,122.49,-74.95,180.0,top
SW1,152.654,-80.772,0.0,top
SW2,122.174,-80.772,0.0,top
SW3,135.654,-80.772,0.0,top
SW4,169.654,-80.73,0.0,top
U1,152.654,-58.09,0.0,top
U2,174.26,-106.02,270.0,top
U4,140.05,-59.98,0.0,top
