Designator,Footprint,Quantity,Value,LCSC Part #
"C1_3, C1_2, C1",0805,3,100nF,
"C2_3, C2_2, C2",CP_EIA-6032-15_Kemet-U_HandSolder,3,220uF,
"C3_3, C3_2, C3",0805,3,1nF,
"C5_3, C5_2, C5",CP_EIA-6032-15_Kemet-U_HandSolder,3,22uF,
"D1_3, D1_2, D1",APHBM2012ETSGTC,3,LED_Dual_AKKA,
"D3_3, D3_2, D3",1206,3,LED,
"J1_3, J1_2, J1",PinHeader_1x04_P2.54mm_Vertical,3,UART,
"J2_3, J2_2, J2",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,3,Bat,
"J3_3, J3_2, J3",USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,3,USB_C,
"J4_3, J4_2, J4",PinHeader_1x08_P2.54mm_Vertical,3,Conn_01x08_Pin,
"JP2_3, JP2_2, JP2",PinHeader_1x02_P2.54mm_Vertical,3,Prog,
"R1_3, R1_2, R1, R11_3, R11_2, R11",0603,6,5.1k,
"R10_3, R10_2, R10",0603,3,3.9k,
"R12_3, R12_2, R12, R2_3, R2_2, R2, R4_3, R4_2, R4, R5_3, R5_2, R5, R6_3, R6_2, R6, R7_3, R7_2, R7, R9_3, R9_2, R9",0603,21,10k,
"R13_3, R13_2, R13",0603,3,1M,
"R14_3, R14_2, R14",0603,3,270k,
"R3_3, R3_2, R3, R8_3, R8_2, R8",0603,6,330,
"SW1_3, SW1_2, SW1, SW2_3, SW2_2, SW2, SW3_3, SW3_2, SW3, SW4_3, SW4_2, SW4, SW5_3, SW5_2, SW5",SON4_PTS526 SM15 SMTR2 LFS_CNK,15,PTS526 SM15 SMTR2 LFS,
"U1_3, U1_2, U1",ESP32-WROOM-32D,3,ESP32-WROOM-32,
"U2_3, U2_2, U2",TSOT-23-6_HandSoldering,3,TP4057,
"U4_3, U4_2, U4",SOT-23_MC_MCH,3,MCP1700,
