Designator,Mid X,Mid Y,Rotation,Layer
C1_3,66.56,-19.6505,180.0,top
C1_2,34.56,-19.6505,180.0,top
C1,2.56,-19.6505,180.0,top
C2_3,2.52,-14.658,270.0,top
C2_2,66.52,-14.658,270.0,top
C2,34.52,-14.658,270.0,top
C3_3,27.66,-11.9205,180.0,top
C3_2,59.66,-11.9205,180.0,top
C3,91.66,-11.9205,180.0,top
C5_3,2.56,-29.623,90.0,top
C5_2,66.56,-29.623,90.0,top
C5,34.56,-29.623,90.0,top
D1_3,2.295,-80.6905,90.0,bottom
D1_2,34.295,-80.6905,90.0,bottom
D1,66.295,-80.6905,90.0,bottom
D3_3,59.52,-13.0705,270.0,bottom
D3_2,27.52,-13.0705,270.0,bottom
D3,91.52,-13.0705,270.0,bottom
J1_3,59.71,-22.6605,0.0,top
J1_2,27.71,-22.6605,0.0,top
J1,91.71,-22.6605,0.0,top
J3_3,79.0,-80.6705,0.0,top
J3_2,47.0,-80.6705,0.0,top
J3,15.0,-80.6705,0.0,top
J4_3,59.71,-50.5605,0.0,top
J4_2,27.71,-50.5605,0.0,top
J4,91.71,-50.5605,0.0,top
JP2_3,59.71,-34.1855,180.0,top
JP2_2,27.71,-34.1855,180.0,top
JP2,91.71,-34.1855,180.0,top
R1_3,67.563333,-78.1905,270.0,top
R1_2,3.563333,-78.1905,270.0,top
R1,35.563333,-78.1905,270.0,top
R10_3,40.11,-78.1905,270.0,top
R10_2,72.11,-78.1905,270.0,top
R10,8.11,-78.1905,270.0,top
R11_3,37.836667,-78.1905,270.0,top
R11_2,5.836667,-78.1905,270.0,top
R11,69.836667,-78.1905,270.0,top
R12_3,9.5,-13.7505,90.0,bottom
R12_2,41.5,-13.7505,90.0,bottom
R12,73.5,-13.7505,90.0,bottom
R13_3,1.62,-39.458,90.0,top
R13_2,33.62,-39.458,90.0,top
R13,65.62,-39.458,90.0,top
R14_3,65.62,-35.4605,270.0,top
R14_2,1.62,-35.4605,270.0,top
R14,33.62,-35.4605,270.0,top
R2_3,91.66,-14.0205,0.0,top
R2_2,59.66,-14.0205,0.0,top
R2,27.66,-14.0205,0.0,top
R3_3,91.6325,-16.0905,180.0,bottom
R3_2,59.6325,-16.0905,180.0,bottom
R3,27.6325,-16.0905,180.0,bottom
R4_3,27.7225,-29.5305,180.0,top
R4_2,91.7225,-29.5305,180.0,top
R4,59.7225,-29.5305,180.0,top
R5_3,41.5,-72.1705,90.0,bottom
R5_2,9.5,-72.1705,90.0,bottom
R5,73.5,-72.1705,90.0,bottom
R6_3,41.5,-52.543,270.0,bottom
R6_2,73.5,-52.543,270.0,bottom
R6,9.5,-52.543,270.0,bottom
R7_3,9.5,-33.773,270.0,bottom
R7_2,73.5,-33.773,270.0,bottom
R7,41.5,-33.773,270.0,bottom
R8_3,65.29,-78.1905,90.0,top
R8_2,33.29,-78.1905,90.0,top
R8,1.29,-78.1905,90.0,top
R9_3,22.22,-81.1305,90.0,top
R9_2,54.22,-81.1305,90.0,top
R9,86.22,-81.1305,90.0,top
SW1_3,46.819651,-71.9805,180.0,bottom
SW1_2,14.819651,-71.9805,180.0,bottom
SW1,78.819651,-71.9805,180.0,bottom
SW2_3,90.500001,-79.640849,90.0,top
SW2_2,26.500001,-79.640849,90.0,top
SW2,58.500001,-79.640849,90.0,top
SW3_3,46.819651,-52.597166,180.0,bottom
SW3_2,78.819651,-52.597166,180.0,bottom
SW3,14.819651,-52.597166,180.0,bottom
SW4_3,14.819651,-33.213833,180.0,bottom
SW4_2,46.819651,-33.213833,180.0,bottom
SW4,78.819651,-33.213833,180.0,bottom
SW5_3,78.819651,-13.830499,180.0,bottom
SW5_2,46.819651,-13.830499,180.0,bottom
SW5,14.819651,-13.830499,180.0,bottom
U1_3,15.0,-19.9655,0.0,top
U1_2,47.0,-19.9655,0.0,top
U1,79.0,-19.9655,0.0,top
U2_3,70.13,-81.993,180.0,top
U2_2,38.13,-81.993,180.0,top
U2,6.13,-81.993,180.0,top
U4_3,66.56,-23.1505,180.0,top
U4_2,34.56,-23.1505,180.0,top
U4,2.56,-23.1505,180.0,top
