Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,100nF,
C2,CP_EIA-6032-15_Kemet-U_HandSolder,1,220uF,
C3,0805,1,68nF,
C5,CP_EIA-6032-15_Kemet-U_HandSolder,1,22uF,
D1,APHBM2012ETSGTC,1,LED_Dual_AKKA,
D3,1206,1,LED,
J1,PinHeader_1x04_P2.54mm_Vertical,1,UART,
J2,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Bat,
J3,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C,
J4,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
JP2,PinHeader_1x02_P2.54mm_Vertical,1,Prog,
"R1, R11",0603,2,5.1k,
R10,0603,1,3.9k,
"R12, R2, R4, R5, R6, R7, R9",0603,7,10k,
R13,0603,1,1M,
R14,0603,1,300,
"R3, R8",0603,2,330,
"SW1, SW2, SW3, SW4, SW5",SMT_FS,5,PTS526 SM15 SMTR2 LFS,
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32,
U2,TSOT-23-6_HandSoldering,1,TP4057,
U3,SOT-23,1,MCP1700T-1202E-TT,
