Designator,Mid X,Mid Y,Rotation,Layer
C1,102.56,-65.6,180.0,top
C2,102.52,-60.6075,270.0,top
C3,127.66,-57.87,180.0,top
C4,101.67,-89.6825,270.0,top
C5,102.56,-75.5725,90.0,top
D1,102.295,-126.64,90.0,bottom
D3,127.52,-59.02,270.0,bottom
J1,127.71,-68.61,0.0,top
J3,115.0,-126.62,0.0,top
J4,127.71,-96.51,0.0,top
JP2,127.71,-80.135,180.0,top
R1,103.563333,-124.14,270.0,top
R10,108.11,-124.14,270.0,top
R11,105.836667,-124.14,270.0,top
R12,109.5,-59.7,90.0,bottom
R13,101.62,-85.4075,90.0,top
R14,101.62,-81.41,270.0,top
R2,127.66,-59.97,0.0,top
R3,127.6325,-62.04,180.0,bottom
R4,127.7225,-75.48,180.0,top
R5,109.5,-118.12,90.0,bottom
R6,109.5,-98.4925,270.0,bottom
R7,109.5,-79.7225,270.0,bottom
R8,101.29,-124.14,90.0,top
R9,122.22,-127.08,90.0,top
SW1,114.819651,-117.93,180.0,bottom
SW2,126.500001,-125.590349,90.0,top
SW3,114.819651,-98.546666,180.0,bottom
SW4,114.819651,-79.163333,180.0,bottom
SW5,114.819651,-59.779999,180.0,bottom
U1,115.0,-65.915,0.0,top
U2,106.13,-127.9425,180.0,top
U4,102.56,-69.1,180.0,top
